round,accuracy,precision,recall,f1
1,0.5104408352668214,0.4927256825689074,0.5104408352668214,0.46827784362802266
2,0.5846867749419954,0.5589252834176912,0.5846867749419954,0.5577210774426552
3,0.642691415313225,0.599153459914984,0.642691415313225,0.6192492057677063
4,0.7215777262180975,0.6693851457703752,0.7215777262180975,0.6929301295677223
5,0.7447795823665894,0.6964522973803716,0.7447795823665894,0.7120057709620872
6,0.765661252900232,0.7197937669306046,0.765661252900232,0.731166665674831
7,0.7795823665893271,0.7324803306383174,0.7795823665893271,0.7451096352118535
8,0.7981438515081206,0.74773226178827,0.7981438515081206,0.7641170714558142
9,0.8074245939675174,0.7549805410457792,0.8074245939675174,0.7736791026518034
10,0.8236658932714617,0.7672603936994671,0.8236658932714617,0.7899102648092489
11,0.8306264501160093,0.7724324441966578,0.8306264501160093,0.7969551594436933
12,0.8352668213457076,0.7763374141775323,0.8352668213457076,0.8016702939836485
13,0.839907192575406,0.7802788271927374,0.839907192575406,0.806373740310757
14,0.8491879350348028,0.7879362437575119,0.8491879350348028,0.8157420270389308
15,0.8491879350348028,0.7879362437575119,0.8491879350348028,0.8157420270389308
16,0.8491879350348028,0.7879362437575119,0.8491879350348028,0.8157420270389308
17,0.8538283062645011,0.7920435949871438,0.8538283062645011,0.8204216400909504
18,0.8561484918793504,0.7938751117405409,0.8561484918793504,0.822772271897761
19,0.8654292343387471,0.802364957962293,0.8654292343387471,0.8321131292098657
20,0.8631090487238979,0.8002011194782913,0.8631090487238979,0.829973683584132
21,0.8700696055684455,0.806742704300787,0.8700696055684455,0.8369575142426359
22,0.877030162412993,0.8134044950222471,0.877030162412993,0.8439282024730904
23,0.8793503480278422,0.8872048292001887,0.8793503480278422,0.849409410360262
24,0.8816705336426914,0.8894461103513398,0.8816705336426914,0.8517311262259307
25,0.888631090487239,0.895842810803701,0.888631090487239,0.8615867634609167
26,0.888631090487239,0.895842810803701,0.888631090487239,0.8615867634609167
27,0.8932714617169374,0.900415071675632,0.8932714617169374,0.8662240892134945
28,0.8932714617169374,0.900415071675632,0.8932714617169374,0.8662240892134945
29,0.8932714617169374,0.900415071675632,0.8932714617169374,0.8662240892134945
30,0.9095127610208816,0.9153348337524226,0.9095127610208816,0.8897677408931768
31,0.9095127610208816,0.9153348337524226,0.9095127610208816,0.8897677408931768
32,0.9095127610208816,0.9153348337524226,0.9095127610208816,0.8897677408931768
33,0.9118329466357309,0.917688653187493,0.9118329466357309,0.8920840413115891
34,0.91415313225058,0.9195771763623705,0.91415313225058,0.8964479587384312
35,0.9164733178654292,0.9219409464860681,0.9164733178654292,0.8987642427870703
36,0.9164733178654292,0.9223519852070814,0.9164733178654292,0.8988950539811451
37,0.9211136890951276,0.9272048194010731,0.9211136890951276,0.9035246715061099
38,0.9234338747099768,0.9296595311335314,0.9234338747099768,0.9058392074118274
39,0.9211136890951276,0.9278246446255181,0.9211136890951276,0.9014778909412476
40,0.9211136890951276,0.9278246446255181,0.9211136890951276,0.9014778909412476
41,0.925754060324826,0.9315110984279812,0.925754060324826,0.9100291446725749
42,0.925754060324826,0.9315110984279812,0.925754060324826,0.9100291446725749
43,0.9303944315545244,0.9358390229659932,0.9303944315545244,0.9163765406561605
44,0.9350348027842227,0.9401889144830957,0.9350348027842227,0.922579099860327
45,0.9350348027842227,0.9401889144830957,0.9350348027842227,0.922579099860327
46,0.9373549883990719,0.9426809010662637,0.9373549883990719,0.9248947357042909
47,0.9396751740139211,0.9445611008446483,0.9396751740139211,0.9286478729756958
48,0.9396751740139211,0.9445611008446483,0.9396751740139211,0.9286478729756958
49,0.9419953596287703,0.9464584713972647,0.9419953596287703,0.9322764627093194
50,0.9419953596287703,0.9459043277278855,0.9419953596287703,0.9334729542474913
