round,accuracy,precision,recall,f1
1,0.14575085167111684,0.30637639616002127,0.14575085167111684,0.10488677445580293
2,0.39084798821471317,0.5816490071020731,0.39084798821471317,0.3902744309640512
3,0.48319675904612835,0.6407722440214828,0.48319675904612835,0.47352173464499603
4,0.4584292422428874,0.6547896912121549,0.4584292422428874,0.46233324439630186
5,0.4241782524629408,0.6657310581592348,0.4241782524629408,0.43181952193081075
6,0.41156431267839055,0.6776508516871952,0.41156431267839055,0.4213524027903055
7,0.4079734831046865,0.6888483415664346,0.4079734831046865,0.4162138230008822
8,0.41653623054967315,0.7011647112856757,0.41653623054967315,0.4240976775472204
9,0.43117576650400513,0.7062484159564101,0.43117576650400513,0.43673292033563293
10,0.45631157351993373,0.7172798050389804,0.45631157351993373,0.4634468487264545
11,0.48605100819445723,0.7259135293957545,0.48605100819445723,0.4939371264100333
12,0.5257342786115459,0.7567678996759438,0.5257342786115459,0.5326309944231661
13,0.5638523156247123,0.7646488072444169,0.5638523156247123,0.5682757986907844
14,0.6029831507227695,0.7787802886969878,0.6029831507227695,0.6045883777528522
15,0.6444157996501243,0.8217780785522087,0.6444157996501243,0.6437078947830703
16,0.6782064266642114,0.8390385501844317,0.6782064266642114,0.6778376491572198
17,0.7111684006997514,0.8518872056734389,0.7111684006997514,0.7110599363499233
18,0.7400791823957278,0.8630941249865736,0.7400791823957278,0.7415247354837073
19,0.7644784089862812,0.8697718385395742,0.7644784089862812,0.7661584883495418
20,0.7861154589816776,0.8769022291750667,0.7861154589816776,0.7886952173637211
21,0.8073842187643864,0.8835676549418848,0.8073842187643864,0.8103836007673971
22,0.8238652057821564,0.8879031231715028,0.8238652057821564,0.8263864335534076
23,0.8409907006721297,0.8983833207974914,0.8409907006721297,0.8437849794161063
24,0.852591842371789,0.9008540308503874,0.852591842371789,0.8549375132641267
25,0.8638246938587607,0.9042523165536861,0.8638246938587607,0.8656045023565216
26,0.8774514317282018,0.909330798373706,0.8774514317282018,0.8788460363583868
27,0.8868428321517355,0.9134243082577953,0.8868428321517355,0.8877463591364396
28,0.8954055795967222,0.9180000265830459,0.8954055795967222,0.8959923606780695
29,0.9042445447012246,0.9233804570303079,0.9042445447012246,0.904543023573203
30,0.9116103489549765,0.9285740242850454,0.9116103489549765,0.9118741387703855
31,0.9174109198048062,0.9327552739915108,0.9174109198048062,0.917646142604947
32,0.9226590553356044,0.9366134234222464,0.9226590553356044,0.9226927767613612
33,0.9260657398029647,0.9395704063581135,0.9260657398029647,0.9260615740615504
34,0.9282754810790903,0.9413073662981727,0.9282754810790903,0.9281950011641933
35,0.9318663106527943,0.9442288313896823,0.9318663106527943,0.9318874485621159
36,0.9351809225669828,0.9467946412240417,0.9351809225669828,0.9351808198308671
37,0.937758954055796,0.9485397249191122,0.937758954055796,0.937701131826027
38,0.9394162600128901,0.9494829093145613,0.9394162600128901,0.9393667839949498
39,0.9418101463953595,0.9507958355832323,0.9418101463953595,0.9415767301330926
40,0.9424546542675628,0.9507205264646377,0.9424546542675628,0.9421575629154945
41,0.9437436700119695,0.9515416858351757,0.9437436700119695,0.9434286627048237
42,0.9459534112880951,0.9530276799633225,0.9459534112880951,0.9455488206567244
43,0.9469662093729859,0.9535759293696943,0.9469662093729859,0.9466798527239936
44,0.9475186446920173,0.953625506194057,0.9475186446920173,0.9471128422725527
45,0.9479790074578768,0.9539624386164903,0.9479790074578768,0.9475808332649669
46,0.948807660436424,0.954526128943016,0.948807660436424,0.9484054177051517
47,0.9499125310744867,0.9553927153602554,0.9499125310744867,0.9495099467078133
48,0.9500046036276586,0.9555005807802462,0.9500046036276586,0.9496433198681247
49,0.9500966761808305,0.9556800079267145,0.9500966761808305,0.9497854187633908
50,0.95055703894669,0.9563066862933003,0.95055703894669,0.9502788430720507
