accuracy,precision,recall,f1,round
0.9152167909417288,0.9078146476316679,0.890017409575703,0.8834396886789612,1
0.9747767651661604,0.9705826181204308,0.9656296162365998,0.9667923306065119,2
0.9840743809260794,0.9824432664097026,0.9772543050219131,0.9794075800468736,3
0.9869281045751634,0.9844654078296536,0.9809210267047433,0.9825407702827591,4
0.9886771610052472,0.9864125580613452,0.9829973627572542,0.9844972603828893,5
0.9898738838258307,0.9875783009984682,0.9845392624779534,0.9859606445667716,6
0.9903341618337476,0.9885339036448015,0.9850972046994603,0.9867030403240553,7
0.9903341618337476,0.9877982032900112,0.9859487112732234,0.9868313939487954,8
0.9914388290527478,0.9891864278296351,0.9862342352638802,0.9876404867848014,9
0.9913467734511645,0.9890761083414162,0.9863156376394442,0.9876442219422831,10
